"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Des Moines","IA","Burlington","19","057",1145,84900,89900,89900,99900,103450,99000,106450,109900,113400,110000,108950,99900,94900,108000,99900,94900,105750,104900,104250,99900,96450,99900,91900,84950,88375,89700,99500,94900,108450,109900,110000,110000,107300,104000,104450,102425,112900,107450,109900,119900,119900,115000,108500,99975,99850,99500,97046,99000,97296,99900,112900,122400,126000,139900,128050,128050,119900,115000,115000,114900,113400,110000,113900,117000,117000,109900,109950,110000,109900,110000,104950,98200,97500,99900,101250,103000,107000,115000,115000,115000,124700,126000,128500,130000,130000,132000,127200,129900,129500,119950,119700,114999.5
"Jackson","NC","Cullowhee","37","099",1146,294750,299000,299700,299000,350000,349000,319250,349375,329900,320000,324900,325000,319000,299900,299900,3e+05,299500,299500,298250,294900,294900,297750,298250,295000,281000,296375,289000,299900,295000,289000,289000,275000,284900,275000,299000,289000,319450,299900,304950,299000,299000,298750,299000,299900,335000,339500,299900,299000,295000,289000,295000,297750,298375,298375,299000,299900,299900,299900,299000,299900,299000,299950,299000,299900,290000,319700,324900,329000,325000,324450,325000,325000,325000,299900,319900,329000,334000,330000,332900,329700,329997.5,330000,330000,327000,329000,325000,329995,339000,345000,349900,350000,350000
"Rio Arriba","NM","Espanola","35","039",1147,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,189000,189000,196500,199900,199900,195000,195000,198700,190750,185000,184950,179400,197900,197900,195000,209000,202850,199900,199900,199900,195000,189450,186250,195000,195000,219000,213000,219900,218950,220000,224900,225000,235000,235000,239450,235000,235000,235000,229000,230000,249000,234900,227000,219500,218500,219000,214500,216250,205000,208000,205000,199999,209500,210000,2e+05,209500,209500,206000,2e+05,2e+05,199500,199000,199900,198500,199000
"Ravalli","MT",,"30","081",1148,289000,295000,285000,285000,279900,275000,279000,279000,275000,269900,260000,259900,259000,249900,255000,249000,249900,249900,256500,259000,259900,269000,260000,249000,250000,249900,250000,249950,249000,240000,249000,250000,249000,249000,265000,269900,262000,274950,279000,282000,289000,289000,289900,289900,295000,292000,289999.5,289900,289450,289900,293548.5,297500,296900,296500,299000,298000,298500,297700,299000,299000,299000,299900,3e+05,299900,299900,299900,309000,3e+05,312500,325000,329000,329500,349000,339200,345000,339400,345500,351000,353500,365000,359000,361500,364500,359250,359750,359000,349000,350000,329500,350000,358000,374450
"Fremont","WY","Riverton","56","013",1149,230000,219750,224900,225000,224950,225000,222500,220000,215000,198500,199900,199500,199000,197000,195000,195000,195000,199450,199900,215000,215500,224000,219250,206762.5,195000,205000,199500,208762.5,205000,206000,212950,207500,218500,215000,212500,205000,205000,198750,207450,209500,214500,215000,220000,220000,220000,224700,225500,220000,216250,220000,219000,220500,228000,239950,229900,229450,230450,227000,225000,229000,224950,229900,229650,223000,220900,221000,224950,219000,219450,216000,215000,205000,218000,214950,222750,219900,215450,217450,215900,215900,210000,205000,199950,199250,198950,199000,199450,205000,215000,216750,215000,217250
"Tift","GA","Tifton","13","277",1150,149900,145000,144950,139900,142500,145000,145000,149700,149900,149900,139900,135000,135000,129900,134950,139000,138900,138900,135000,134700,129500,127500,127700,134900,129900,128950,129000,125000,119900,109900,109000,104700,111500,119500,129900,129500,139000,143950,144900,145500,145500,142000,139000,135000,134950,132250,129900,132000,129900,132000,132000,132000,137500,147500,149900,146900,145950,142000,139450,133700,134900,135000,135000,137900,139900,142000,142250,145000,150000,149900,139999,139900,139000,139900,139900,139900,159900,149900,159000,154900,149900,154900,149000,149900,145000,144900,149900,149900,152400,154950,142900,141000
"Champaign","OH","Urbana","39","021",1151,109900,110000,119900,120500,115000,114900,109900,109950,109950,109900,110000,104900,99900,99900,99900,1e+05,1e+05,107000,109900,104900,111900,109900,105950,106500,107000,98174.5,99900,99900,103500,109900,105000,114900,104500,108900,109900,109900,106000,107000,109949.5,114900,119000,115450,115000,110000,110000,112900,107900,105000,106450,105000,105918.5,109950,104900,105000,112850,114900,115000,114900,112750,114900,104900,99900,104950,104900,109900,114500,119900,119900,119900,119900,119500,119250,119250,115900,115000,117900,119950,115000,119000,124900,119900,119900,119900,119900,115475,110000,109950,115475,124950,124900,124900,120950
"Guernsey","OH","Cambridge","39","059",1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,107900,105400,99700,99950,107400,99900,99900,99500,99900,99700,99500,93500,95400,99500,109000,109125,109900,96900,104900,99900,104900,99900,99900,96750,96200,96750,99000,110999,110999,112900,110000,110000,109900,119200,112900,109250,99388.5,94500,94700,98250,106750,104900,105450,109950,112900
"Okmulgee","OK","Tulsa","40","111",1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109000,110000,107500,114500,122250,104000,99750,85000,84750,85000,85000,89500,91000,99400,87250,95500,95500,95500,99250,99500,99500,108750,99500,94500,90000,89500,94750,99500,94000,86250,72450,72250,70000,75000,79900,83000,85750,89500,89000,85000,81550,85000,89950,102000,96000,85000,96250,99500,1e+05,93000,89000,85000,89250,85000,84200,84750,97900,99500,108500,102450,99900
"Okeechobee","FL","Okeechobee","12","093",1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164000,149900,152450,167000,167450,169900,175000,177750,174900,175000,170000,165000,164750,168800,168450,180000,180000,155500,162400,164900,169000
